ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/和泉市久保惣記念美術館/1000.jpg	-48.75,45,70	0,0,1	0,1,0	-1,0,0	-30.92272	-17.9055	0.2	2	Wooden_thin	-1:-1	0
2	./Images/和泉市久保惣記念美術館/wrk_0_auth.png	-48.75,45,70	0,0,1	0,1,0	-1,0,0	-8.551953	-17.9055	0.2	1	Wooden_thin2	-1:-1	1
3	./Images/和泉市久保惣記念美術館/1001.jpg	-48.75,45,70	0,0,1	0,1,0	-1,0,0	22.01258	-18.189	0.2	1.8	Wooden_thin	-1:-1	2
5	./Images/和泉市久保惣記念美術館/wrk_1_auth.png	-48.75,45,70	0,0,1	0,1,0	-1,0,0	40.03548	-18	0.2	1	Wooden_thin2	-1:-1	4
6	./Images/和泉市久保惣記念美術館/1002.jpg	0,45,138.25	1,0,0	0,1,0	0,0,1	-4.524457	-18.063	0.2	2	MetalGold	-1:-1	5
7	./Images/和泉市久保惣記念美術館/wrk_2_auth.png	0,45,138.25	1,0,0	0,1,0	0,0,1	17.14175	-18	0.2	1	Wooden_thin2	-1:-1	6
8	./Images/和泉市久保惣記念美術館/1003.jpg	48.75,45,70	0,0,-1	0,1,0	1,0,0	-0.7538223	-18	0.2	10	Wooden_thin	-1:-1	7
9	./Images/和泉市久保惣記念美術館/wrk_3_auth.png	48.75,45,70	0,0,-1	0,1,0	1,0,0	35.22019	-29.11948	0.2	1	Wooden_thin2	-1:-1	8
10	./Images/和泉市久保惣記念美術館/title.jpg	-32.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-1.57401	-17.874	0.2	2	Wooden_thin2	-1:-1	9
