ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/飯田市美術博物館/1000.jpg	0,45,118.5	1,0,0	0,1,0	0,0,1	-16.36387	-17.874	0.2	2	Wooden_thin	-1:-1	0
2	./Images/飯田市美術博物館/wrk_0_auth.png	0,45,118.5	1,0,0	0,1,0	0,0,1	32.7636	-25.52848	0.2	1	Wooden_thin2	-1:-1	1
3	./Images/飯田市美術博物館/1001.jpg	0,45,118.5	1,0,0	0,1,0	0,0,1	11.96103	-18.504	0.2	2	Wooden_thin	-1:-1	2
5	./Images/飯田市美術博物館/1002.jpg	-58.5,45,60	0,0,1	0,1,0	-1,0,0	-6.536572	-18.126	0.2	3	Wooden_thin	-1:-1	4
7	./Images/飯田市美術博物館/1003.jpg	58.5,45,60	0,0,-1	0,1,0	1,0,0	-3.328423	-10.692	0.2	4	Wooden_thin	-1:-1	6
9	./Images/飯田市美術博物館/title.jpg	-37.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-2.125843	-18	0.2	2	Wooden_thin	-1:-1	8
10	./Images/飯田市美術博物館/wrk_2_auth.png	58.5,45,60	0,0,-1	0,1,0	1,0,0	27.9455	-18	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/飯田市美術博物館/wrk_2_desc.png	58.5,45,60	0,0,-1	0,1,0	1,0,0	39.91983	-22.81949	0.2	1	Wooden_thin2	-1:-1	10
12	./Images/飯田市美術博物館/wrk_1_auth.png	-58.5,45,60	0,0,1	0,1,0	-1,0,0	20.98085	-18	0.2	1	Wooden_thin2	-1:-1	11
