ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
8	./Images/久留米市美術館/1002.png	25.90234,31.84,52.35038	1,0,0	0,1,0	0,0,1	1.080374	-3.737499	0.2	2	Wooden_thin	4:3	12
10	./Images/久留米市美術館/1003.png	84.04233,31.84,52.93513	1,0,0	0,1,0	0,0,1	-0.5365342	-5.280998	0.2	1.6	Wooden_thin2	5:3	14
11	./Images/久留米市美術館/wrk_0_auth.png	-87.1156,31.84,52.84237	1,0,0	0,1,0	0,0,1	13.66599	-9.974496	0.2	1	none(caption)	1:3	15
12	./Images/久留米市美術館/wrk_1_auth.png	-29.37733,31.84,52.85209	1,0,0	0,1,0	0,0,1	10.27424	-9.880001	0.2	1	none(caption)	3:3	16
13	./Images/久留米市美術館/wrk_2_auth.png	25.90234,31.84,52.35038	1,0,0	0,1,0	0,0,1	10.1501	-15.83349	0.2	1	none(caption)	4:3	17
14	./Images/久留米市美術館/wrk_3_auth.png	84.04233,31.84,52.93513	1,0,0	0,1,0	0,0,1	8.567589	-16.36902	0.2	1	none(caption)	5:3	18
16	./Images/久留米市美術館/title.jpg	-108.9309,28.656,24.7526	0,0,1	0,1,0	-1,0,0	-0.03673303	-3.041998	0.2	1.4	none(caption)	2:3	20
17	./Images/久留米市美術館/1000.png	-87.1156,31.84,52.84237	1,0,0	0,1,0	0,0,1	-1.259542	-4.587997	0.2	1	Metal_Vertical	1:3	21
18	./Images/久留米市美術館/1001.png	-29.37733,31.84,52.85209	1,0,0	0,1,0	0,0,1	-2.89057	-4.367499	0.2	1	Metal	3:3	22
