ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
3	./Images/岐阜県美術館/Gustave_Moreau_-_Pietà.jpg	-78,37.5,40	0,0,1	0,1,0	-1,0,0	-0.2678185	-10.5	0.2	2	MetalGold	-1:-1	2
4	./Images/岐阜県美術館/wrk_2_auth.png	-78,37.5,40	0,0,1	0,1,0	-1,0,0	22.20551	-21.588	0.2	1	Wooden_thin2	-1:-1	3
5	./Images/岐阜県美術館/Rafu_by_Yamamoto_Hōsui.jpg	0,37.5,79	1,0,0	0,1,0	0,0,1	-4.386456	-8.358009	0.2	3	Metal	-1:-1	4
6	./Images/岐阜県美術館/wrk_0_auth.png	0,37.5,79	1,0,0	0,1,0	0,0,1	24.56837	-19.79249	0.2	1	Wooden_thin2	-1:-1	5
8	./Images/岐阜県美術館/wrk_1_auth.png	78,37.5,40	0,0,-1	0,1,0	1,0,0	31.17068	-23.50951	0.2	1	Wooden_thin2	-1:-1	7
9	./Images/岐阜県美術館/Urashima-zu_by_Yamamoto_Hōsui_02.jpg	78,37.5,40	0,0,-1	0,1,0	1,0,0	1.822122	-10.626	0.2	3	WoodenBlack	-1:-1	8
10	./Images/岐阜県美術館/岐阜県美術館1.jpg	-47.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-5.808334	-10.5	0.2	1	WoodenWhite	-1:-1	9
11	./Images/岐阜県美術館/岐阜県美術館.jpg	47.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	9.98027	-10.5	0.2	1	Wooden_thin	-1:-1	10
