id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		10.34641,8.130804,10.98468	-0.5499217,0,0.8352162		3.030007
2	3	1		-16.13968,8.639297,27.27106	-0.826475,0,-0.5629734		1.230007
3	4	2		-45.28896,7.670344,25.74454	-0.9772742,0,0.2119787		4.830007
4	5	3		-59.61306,7.706238,28.85156	-0.9882596,0,0.1527848		4.680007
5	6	4		-56.76523,6.75,47.28379	-0.9894289,0,0.1450189		12.63001
6	7	5		-46.41085,7.174532,25.88693	0.4176816,0,0.9085935		7.230006
7	8	6		-8.22359,7.970657,18.93145	0,0,0.9999601		3.630003
8	9	7		41.92011,7.931573,24.46303	-0.1961466,0,0.9805746		3.780003
9	-1	8		58.92859,6.75,53.80051	0,0,0.9999914		17.73
