ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/姫路市立美術館/1000.jpg	-58.5,45,60	0,0,1	0,1,0	-1,0,0	-10.88004	-18.0315	0.2	2	Metal	-1:-1	0
2	./Images/姫路市立美術館/wrk_0_auth.png	-58.5,45,60	0,0,1	0,1,0	-1,0,0	13.41658	-18	0.2	1	Wooden_thin2	-1:-1	1
3	./Images/姫路市立美術館/1001.png	0,45,118.5	1,0,0	0,1,0	0,0,1	-23.46533	-17.937	0.2	2	WoodenBlack	-1:-1	2
4	./Images/姫路市立美術館/wrk_1_auth.png	0,45,118.5	1,0,0	0,1,0	0,0,1	-1.153306	-18.0315	0.2	1	Wooden_thin2	-1:-1	3
6	./Images/姫路市立美術館/1002.png	0,45,118.5	1,0,0	0,1,0	0,0,1	21.85238	-18.063	0.2	2	Wooden_thin	-1:-1	5
8	./Images/姫路市立美術館/wrk_2_auth.png	0,45,118.5	1,0,0	0,1,0	0,0,1	41.66691	-18.126	0.2	1	Wooden_thin2	-1:-1	7
9	./Images/姫路市立美術館/1003.png	58.5,45,60	0,0,-1	0,1,0	1,0,0	-9.931214	-18.063	0.2	3	MetalGold	-1:-1	8
10	./Images/姫路市立美術館/wrk_3_auth.png	58.5,45,60	0,0,-1	0,1,0	1,0,0	23.07378	-18	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/姫路市立美術館/title.jpg	-37.5,45,0.5	-1,0,0	0,1,0	0,0,-1	0.2423254	-18.0945	0.2	2	Wooden_thin	-1:-1	10
