ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/和歌山県立近代美術館/1000.png	0,45,118.5	1,0,0	0,1,0	0,0,1	-9.909071	-18	0.2	3	Metal	-1:-1	0
3	./Images/和歌山県立近代美術館/wrk_0_auth.png	0,45,118.5	1,0,0	0,1,0	0,0,1	18.90056	-18	0.2	1	Wooden_thin2	-1:-1	2
5	./Images/和歌山県立近代美術館/1001.png	-78,45,60	0,0,1	0,1,0	-1,0,0	-1.608744	-18.0315	0.2	3	WoodenWhite	-1:-1	4
6	./Images/和歌山県立近代美術館/wrk_1_auth.png	-78,45,60	0,0,1	0,1,0	-1,0,0	27.17911	-18	0.2	1	Wooden_thin2	-1:-1	5
7	./Images/和歌山県立近代美術館/1002.png	78,45,60	0,0,-1	0,1,0	1,0,0	-30.25611	-17.937	0.2	2	Wooden_thin	-1:-1	6
8	./Images/和歌山県立近代美術館/wrk_2_auth.png	78,45,60	0,0,-1	0,1,0	1,0,0	-9.552177	-18.063	0.2	1	Wooden_thin2	-1:-1	7
9	./Images/和歌山県立近代美術館/1003.jpg	78,45,60	0,0,-1	0,1,0	1,0,0	22.04023	-18	0.2	2	Wooden_thin2	-1:-1	8
10	./Images/和歌山県立近代美術館/wrk_3_auth.png	78,45,60	0,0,-1	0,1,0	1,0,0	42.66371	-18	0.2	1	Wooden_thin2	-1:-1	9
11	./Images/和歌山県立近代美術館/title.jpg	-47.5,45,0.5	-1,0,0	0,1,0	0,0,-1	-2.906469	-18.0315	0.2	2	Wooden_thin	-1:-1	10
