ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
8	./Images/千葉県立美術館/画像４.png	-78,30,30	0,0,1	0,1,0	-1,0,0	-1.67816	-3.8505	0.2	3	none(caption)	-1:-1	7
9	./Images/千葉県立美術館/title.jpg	-47.5,30,0.5	-1,0,0	0,1,0	0,0,-1	-1.104288	-2.433	0.2	2	Wooden_thin	-1:-1	8
11	./Images/千葉県立美術館/1000.jpg	-48.41617,31.84,52.62493	1,0,0	0,1,0	0,0,1	0.6019695	-3.957999	0.2	2	Metal	3:3	6
12	./Images/千葉県立美術館/画像1.png	0,30,59.25	1,0,0	0,1,0	0,0,1	-39.96724	-3	0.2	1	none(caption)	-1:-1	7
13	./Images/千葉県立美術館/画像1.png	-48.41617,31.84,52.62493	1,0,0	0,1,0	0,0,1	11.5392	-17.12499	0.2	1	none(caption)	3:3	8
14	./Images/千葉県立美術館/1001.jpg	4.125096,31.84,52.38886	1,0,0	0,1,0	0,0,1	0.3601898	-4.808498	0.2	1	Metal_Vertical	4:3	10
16	./Images/千葉県立美術館/画像2.png	4.125096,31.84,52.38886	1,0,0	0,1,0	0,0,1	9.765845	-16.8415	0.2	1	none(caption)	4:3	12
17	./Images/千葉県立美術館/1002.jpg	49.92163,31.84,52.98957	1,0,0	0,1,0	0,0,1	0.2626787	-4.651	0.2	2	WoodenWhite	5:3	14
19	./Images/千葉県立美術館/画像3.png	49.92163,31.84,52.98957	1,0,0	0,1,0	0,0,1	10.67359	-17.377	0.2	1	none(caption)	5:3	16
